"(A) LDW-Experimental","","(B) LDW-CPS1","","(C) LDW-PSID1","","(D) Trimmed LDW-CPS1 ","","(E) Trimmed LDW-PSID1","","(F) Top CPS1: card","","(G) Top CPS1: mahvars","","(H) Top CPS1: overlap_crump","","(I) Top CPS1: ps_threshold","","(J) Top CPS1: optimal_pair","","(K) Top PSID1: card","","(L) Top PSID1: mahvars","","(M) Top PSID1: overlap_crump","","(N) Top PSID1: ps_threshold","","(O) Top PSID1: fix_max_value_trunc.psid_plus_overlap_weight",""
"265.15","(305.00)","-12118.75","(247.18)","-17531.28","(360.60)","-639.82","(442.36)","378.95","(598.45)","-300.03","(257.91)","126.08","(309.13)","-6167.78","(175.24)","-639.82","(442.36)","-748.14","(238.52)","-313.75","(451.95)","-416.97","(671.84)","-6459.56","(325.68)","378.95","(598.45)","-17686.20","(310.72)"
"265.15","(305.00)","-12118.75","(247.18)","-17531.28","(360.60)","-639.82","(442.36)","378.95","(598.45)","-300.03","(257.91)","126.08","(309.13)","-6167.78","(175.24)","-639.82","(442.36)","-748.14","(238.52)","-313.75","(451.95)","-416.97","(671.84)","-6459.56","(325.68)","378.95","(598.45)","-17686.20","(310.72)"
"224.34","(218.33)","-1134.82","(272.44)","-2757.40","(589.02)","-639.61","(323.93)","521.18","(580.74)","-366.41","(206.44)","110.98","(217.76)","-2452.24","(208.13)","-639.61","(323.93)","-178.54","(186.94)","-383.48","(390.29)","-184.84","(498.66)","-3769.49","(496.30)","521.18","(580.74)","-3006.44","(512.93)"
"165.70","(284.98)","-1096.70","(395.18)","-2640.76","(367.46)","-639.75","(354.98)","614.90","(528.65)","-515.22","(225.11)","145.67","(278.37)","-2399.60","(244.47)","-639.75","(354.98)","-385.86","(192.96)","-494.85","(380.65)","-242.11","(581.06)","-4437.97","(236.99)","614.90","(528.65)","-2717.06","(248.87)"
"106.29","(283.71)","-1586.50","(372.94)","-4258.24","(344.35)","-609.29","(316.11)","487.27","(494.63)","-368.09","(200.54)","109.88","(259.38)","-1655.69","(242.16)","-595.48","(315.57)","-267.44","(180.64)","-16.84","(383.56)","-148.52","(520.20)","-3423.80","(227.21)","505.50","(493.90)","-4566.10","(230.26)"
"148.67","(227.58)","-1465.93","(351.78)","-1913.65","(805.37)","-537.70","(301.34)","432.26","(551.40)","-708.53","(275.03)","-23.90","(222.75)","-1585.39","(307.46)","-537.70","(301.34)","-609.49","(251.48)","-258.76","(488.69)","-469.12","(484.86)","-1923.85","(779.00)","432.26","(551.40)","-1931.45","(856.38)"
"382.20","(309.78)","-1456.77","(422.76)","-2766.44","(493.56)","-922.28","(444.26)","181.31","(539.74)","-221.69","(229.97)","-69.80","(304.90)","-1210.88","(251.76)","-930.53","(444.08)","-373.38","(207.94)","-24.90","(416.13)","177.63","(631.65)","-2193.92","(338.22)","181.31","(539.74)","-2423.24","(290.25)"
"166.79","(311.25)","-1568.77","(337.54)","-3183.02","(734.24)","-614.96","(414.51)","299.55","(619.27)","-300.03","(257.91)","126.08","(309.13)","-1546.12","(312.21)","-614.96","(414.51)","-748.14","(238.52)","-313.75","(451.95)","-416.97","(671.84)","-2246.15","(817.09)","299.55","(619.27)","-2582.29","(865.73)"
"188.34","(304.79)","-1228.74","(297.88)","-2302.41","(833.81)","-553.79","(427.08)","526.50","(596.12)","-300.03","(257.91)","126.08","(309.13)","-1366.40","(245.42)","-553.79","(427.08)","-748.14","(238.52)","-313.75","(451.95)","-416.97","(671.84)","-2229.24","(794.69)","526.50","(596.12)","-2375.70","(946.53)"
"189.20","(304.71)","-1228.49","(297.88)","-2250.80","(842.15)","-627.31","(468.64)","813.75","(628.08)","-518.64","(324.44)","164.57","(317.64)","-1357.11","(245.36)","-627.31","(468.64)","-306.53","(227.36)","-441.15","(486.46)","-222.37","(653.59)","-2033.72","(778.18)","813.75","(628.08)","-2227.14","(899.13)"
"275.69","(231.57)","-1152.96","(271.75)","-2725.28","(591.57)","-662.86","(329.15)","605.22","(591.84)","-375.70","(205.10)","113.17","(221.60)","-2449.22","(208.40)","-662.86","(329.15)","-184.41","(186.39)","-458.30","(390.41)","-72.30","(484.27)","-3781.69","(496.52)","605.22","(591.84)","-2964.43","(510.26)"
"99.52","(228.80)","-1275.34","(262.33)","-2506.00","(620.09)","-690.21","(333.29)","460.26","(532.70)","-229.96","(247.73)","70.56","(237.51)","-1386.71","(236.62)","-690.21","(333.29)","-340.45","(238.73)","-21.57","(376.00)","-223.03","(512.05)","-1868.86","(837.13)","460.26","(532.70)","-2033.23","(857.19)"
"109.31","(233.28)","-1326.58","(276.65)","-2872.52","(684.52)","-794.20","(354.06)","659.22","(553.92)","-331.02","(239.46)","99.63","(256.75)","-1466.76","(217.91)","-794.20","(354.06)","-354.67","(227.54)","-32.19","(378.31)","-435.64","(571.51)","-2792.75","(513.17)","659.22","(553.92)","-1909.32","(1103.90)"
