"(A) LDW-Experimental","","(B) LDW-CPS-1","","(C) LDW-PSID-1","","(D) Top CPS-1: genetic_ps_threshold","","(E) Top CPS-1: genetic_common_range","","(F) Top CPS-1: genetic_crump","","(G) Top CPS-1: nn_crump","","(H) Top CPS-1: caliper_crump","","(I) Top PSID-1: genetic_stuermer","","(J) Top PSID-1: mahvars_stuermer","","(K) Top PSID-1: k3_walker","","(L) Top PSID-1: cs_stuermer","","(M) Top PSID-1: optimal_pair_stuermer","","(N) Trimmed LDW-CPS-1-PLUS","","(O) Trimmed LDW-PSID-1-PLUS",""
"1794.34","(670.82)","1794.34","(670.82)","1794.34","(670.82)","-8497.52","(581.92)","-3857.69","(586.66)","548.57","(692.75)","548.57","(692.75)","548.57","(692.75)","-5593.82","(987.27)","-5593.82","(987.27)","-5554.09","(1106.72)","-5593.82","(987.27)","-5593.82","(987.27)","1911.04","(737.71)","306.29","(985.98)"
"1794.34","(670.82)","-8497.52","(581.92)","-15204.78","(655.91)","1281.99","(808.46)","1325.23","(798.67)","1521.02","(826.69)","1293.62","(905.70)","1293.62","(905.70)","-1371.65","(1299.37)","-4432.22","(2491.32)","-2555.38","(1283.74)","-1749.97","(1419.93)","-1850.63","(1182.99)","1483.82","(824.44)","-1505.24","(1219.89)"
"1605.52","(665.93)","1484.61","(631.51)","1227.70","(892.77)","1609.31","(765.34)","1678.24","(757.80)","1593.08","(805.30)","1632.63","(897.09)","1632.63","(897.09)","-901.82","(1174.99)","-4066.06","(2400.07)","-2175.01","(1356.20)","-1525.91","(1407.98)","-1650.98","(1159.24)","1825.06","(838.01)","-1577.78","(1278.65)"
"1709.79","(587.92)","1553.68","(621.16)","2052.84","(644.01)","1729.96","(607.68)","1800.75","(607.68)","1740.18","(646.56)","1932.34","(651.55)","1932.34","(651.55)","-1152.17","(1087.61)","-4107.89","(1443.92)","-2365.63","(1279.58)","-1364.75","(1003.95)","-1187.74","(1088.42)","1521.86","(671.25)","-412.79","(905.98)"
"1759.36","(581.97)","1164.55","(625.47)","449.34","(636.41)","1642.98","(587.67)","1746.26","(587.98)","1830.62","(635.98)","1811.64","(635.61)","1811.64","(635.61)","-1486.06","(898.71)","-4412.60","(887.45)","-2472.44","(1137.57)","-1723.17","(869.41)","-1442.06","(886.31)","1484.43","(666.52)","-1949.62","(725.68)"
"1583.55","(785.15)","1591.49","(832.21)","2174.97","(1575.49)","2002.19","(917.89)","2116.94","(907.45)","1752.23","(1019.57)","2295.27","(1117.84)","2295.27","(1117.84)","-1376.79","(1318.04)","-2997.52","(2471.92)","-2589.68","(1407.70)","-1582.63","(1448.09)","-726.10","(1309.15)","2069.69","(955.87)","-522.75","(1308.67)"
"2003.36","(698.21)","1162.74","(739.79)","1154.56","(944.07)","1453.23","(721.36)","1304.12","(717.85)","1599.13","(729.51)","1588.26","(780.74)","1588.26","(780.74)","-1415.31","(1099.03)","-6516.65","(2422.76)","-2405.56","(1655.86)","-2036.54","(1179.06)","-2297.62","(1201.56)","1018.97","(813.26)","-2510.85","(1165.31)"
"1808.52","(681.51)","1149.70","(684.62)","729.65","(931.05)","1694.35","(885.02)","1880.19","(835.49)","2098.88","(863.55)","1966.58","(1000.89)","1966.58","(1000.89)","-1476.04","(1252.70)","-4432.22","(2491.32)","-2435.22","(1359.60)","-1658.36","(1326.15)","-1850.63","(1182.99)","1379.76","(822.05)","-2062.92","(1280.21)"
"1699.09","(699.19)","1493.80","(652.71)","2359.12","(873.16)","1694.35","(885.02)","1880.19","(835.49)","2098.88","(863.55)","1966.58","(1000.89)","1966.58","(1000.89)","-1476.04","(1252.70)","-4432.22","(2491.32)","-2435.22","(1359.60)","-1658.36","(1326.15)","-1850.63","(1182.99)","1509.99","(803.90)","-1217.15","(1251.87)"
"1701.38","(699.39)","1492.13","(652.66)","2424.45","(875.94)","1728.40","(781.88)","1799.07","(770.89)","1736.68","(835.11)","1931.96","(889.09)","1931.96","(889.09)","-1111.80","(1237.61)","-3978.61","(2542.60)","-2315.19","(1291.74)","-1297.94","(1524.30)","-1110.91","(1273.53)","1504.62","(803.95)","-688.65","(1303.82)"
"1814.98","(670.37)","270.99","(611.84)","16.81","(884.70)","1156.92","(803.19)","1259.07","(799.44)","1510.95","(812.52)","1317.55","(907.65)","1317.55","(907.65)","-1540.14","(1247.46)","-4568.94","(2448.47)","-2722.80","(1242.60)","-1686.73","(1397.33)","-1923.73","(1163.65)","1506.35","(816.15)","-1687.57","(1209.49)"
"1791.51","(689.14)","1682.91","(721.78)","1367.67","(886.34)","1999.14","(793.18)","2015.86","(789.71)","2076.48","(834.79)","2069.13","(883.40)","2069.13","(883.40)","-1220.16","(1204.31)","-4415.90","(2995.26)","-2439.95","(1160.01)","-1282.80","(1489.46)","-846.69","(1175.96)","1485.47","(819.88)","-2102.20","(1276.55)"
"1848.58","(682.11)","1471.91","(687.41)","1234.26","(800.69)","1878.68","(823.62)","1777.20","(835.51)","1975.17","(866.07)","2050.59","(905.83)","2050.59","(905.83)","-1738.03","(1329.21)","-4279.85","(2577.80)","-2616.17","(1172.36)","-709.90","(1580.12)","-1248.25","(1202.68)","1612.67","(829.32)","-2122.24","(1305.68)"
