"V1","V2","V3","V4"
"33.77","33.74","37.07","34.54"
"(7.40)","(7.15)","(10.57)","(9.34)"
"10.31","10.26","11.30","10.49"
"(1.88)","(2.03)","(2.77)","(2.13)"
"0.70","0.68","0.45","0.59"
"(0.46)","(0.47)","(0.50)","(0.49)"
"0.02","0.04","0.02","0.01"
"(0.15)","(0.19)","(0.14)","(0.10)"
"0.84","0.82","0.65","0.86"
"(0.37)","(0.39)","(0.48)","(0.35)"
"2.18","2.23","1.71","2.97"
"(1.29)","(1.34)","(1.78)","(1.79)"
"0.12","0.13","0.02","0.02"
"(0.32)","(0.33)","(0.12)","(0.15)"
"0.86","0.88","7.51","2.21"
"(2.01)","(2.19)","(7.54)","(3.57)"
"0.73","0.75","0.28","0.58"
"(0.44)","(0.44)","(0.45)","(0.49)"
"1.00","1.00","0.28","1.00"
"(0.00)","(0.00)","(0.45)","(0.00)"
"600","585","648","182"
"","","",""
